"Email - Ask for details","Email - Ask for details"
"Your Name","שם"
"E-mail Address","כתובת מייל"
"Ask for details","Ask for details"
"Ask Product Qustion.","Ask Product Qustion."
"Unable to submit your request. Please, try again later","לא ניתן לשלוח את ההודעה כרגע"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","ההודעה נשלחה ותטופל בהקדם, תודה שיצרת קשר עימנו."
"Message","הודעה"
"Send","שליחה"
"Product Name","שם הפריט"
"E-mail Address","כתובת מייל"
"Full Name","שם מלא"
"Unable to submit your request. Please, try again later","לא ניתן לשלוח את ההודעה כרגע"
"Name field cannot be empty.","שדה שם הוא חובה."
"The format of the e-mail address is incorrect.","The format of the e-mail address is incorrect."
"Message field cannot be empty.","Message field cannot be empty."
"Server encountered an unexpected error while sending email.","Server encountered an unexpected error while sending email."
"If you have any questions, please contact us by this form.","לשאלות על הפריט אנא שלח את הטופס הבא"
"Have a Question? Click Here","יש לך שאלה על הפריט? לחץ כאן"