"Add Option","הוסף אופציה"
"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products.","Attribute '%s' used in configurable products."
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Attribute Properties","Attribute Properties"
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Attribute used in configurable products."
"Attribute with the same code","Attribute with the same code"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Date","תאריך"
"Decimal Number","מספר עשרוני"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","ערך ברירת מחדל לא הוגדר"
"Default value","ערך ברירת מחדל"
"Delete","מחק"
"Dropdown","רשימת בחירה"
"Email","דואר אלקטרוני"
"Entity collection expected","Entity collection expected"
"Entity collections expected","Entity collections expected"
"Entity is not initialized","Entity is not initialized"
"Failed to load node %s from config.","Failed to load node %s from config."
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Frontend label is not defined","Frontend label is not defined"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer Number","מספר שלם"
"Invalid EAV attribute","Invalid EAV attribute"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Invalid attribute name: %s","Invalid attribute name: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Invalid attribute type"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid entity specified","Invalid entity specified"
"Invalid entity supplied","Invalid entity supplied"
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity type","Invalid entity type"
"Invalid entity_id, skipping the record","Invalid entity_id, skipping the record"
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid foreign key","Invalid foreign key"
"Invalid form type","Invalid form type"
"Invalid joined fields","Invalid joined fields"
"Invalid store specified","Invalid store specified"
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Letters","אותיות"
"Letters(a-zA-Z) or Numbers(0-9)","אותיות(a-zA-Z) או מספרים(0-9)"
"Loaded %d records","Loaded %d records"
"Multiple Select","רשימת בחירה מרובה"
"No","לא"
"No options found in config node %s","No options found in config node %s"
"None","ללא"
"Not shared with other products","לא משותף עם מוצרים אחרים"
"Problem loading a record, aborting. Error: %s","Problem loading a record, aborting. Error: %s"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Required","שדה חובה"
"Saved ","נשמר "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"System","מערכת"
"Text Area","טקטס חופשי"
"Text Field","שורת טקסט"
"The attribute code \'%s\' is reserved by system. Please, try another attribute code.","The attribute code \'%s\' is reserved by system. Please, try another attribute code."
+"Unique Value","ערך ייחודי"
+"Unique Value (not shared with other products)","ערך ייחודי (אינו משותף עם מוצרים אחרים)"
"Unknown parameter","פרמטר לא ידוע"
"Url","Url"
"Valid store_id is expected!","Valid store_id is expected!"
"Value of attribute ""%s"" must be unique","ערך של תכונה ""%s"" חייב להיות ייחודי"
"Values Required","ערכים נדרשים"
"Wrong attribute ID","Wrong attribute ID"
"Wrong attribute group ID","Wrong attribute group ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong entity ID","Wrong entity ID"
"Yes","כן"
"Yes/No","כן/לא"