" Copy"," העתק"
"Action","פעולה"
"Add New Template","הוסף תבנית חדשה"
"Add to Queue","הוסף לתור"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","בטל"
"Cancelled","בוטל"
"Cannot delete template","לא יכול למחוק תבנית"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Confirmation Email Sender","אישור דואר אלקטרוני השולח"
"Confirmation Email Template","תבנית אישור דואר אלקטרוני"
"Confirmation request has been sent","הודעת אישור ההרשמה נשלחה"
"Convert to Plain Text","הפוך לטקסט פשוט"
"Create Newsletter Template","צור תבנית לניוזלטר"
"Customer Firstname","לקוח - שם פרטי"
"Customer Lastname","לקוח - שם משפחה"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Customer","לקוח"
"Date Added","נוסף בתאריך"
"Date Updated","עדכון אחרון"
"Delete","מחק"
"Delete Selected Problems","מחק בעיות נבחרות"
"Delete Template","מחק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Duplicate of template code","שיכפול מקוד התבנית"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Newsletter","ערוך ניוזלטר"
"Edit Queue","ערוך תור"
"Edit Template","ערוך תבנית"
"Email","דואר אלקטרוני"
"Enter your email address","הכנס כתובת דואר אלקטרוני שלך"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Guest","אורח"
"ID","ID"
"Invalid queue selected","Invalid queue selected"
"Invalid subscription ID","מס' ID של הרשמה שגוי"
"Invalid subscription confirmation code","קוד אישור הרשמה שגוי"
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנתי חדשה"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","מדור ניוזלטר"
"Newsletter Sign-up:","הרשמה לניוזלטר:"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscriptions","הרשמה לניוזלטר"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","ניוזלטר - אישור הרשמה"
"Newsletter subscription success","ניוזלטר - הרישום הצליח"
"Newsletter unsubscription success","ניוזלטר - הסרת המנוי הצליחה"
"Newsletter","ניוזלטר"
"Newsletter","ניוזלטר"
"No Templates Found","לא נמצאה תבנית"
"No problems found","לא נמצאו בעיות"
"No subscribers selected","לא נבחרו מנוים"
"Not Sent","לא נשלח"
"Not activated","לא פעיל"
"Pause","עצור"
"Paused","עצר/נעצר"
"Please enter new template name","הקלד שם תבנית חדשה"
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview Template","תבנית - תצוגה מקדימה"
"Preview","תצוגה מקדימה"
"Processed","מעובד"
"Queue Date Start","תאריך תחילת תור"
"Queue Finish","סיום תור"
"Queue Information","תור - מידע"
"Queue Newsletter","תור - ניוזלטר"
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","נמענים/מקבלים"
"Reset","התחל מחדש"
"Resume","המשך פעולה"
"Return Html Version","החזר לגירסת HTML"
"Save And Resume","שמור והמשך"
"Save As","שמירה בשם"
"Save Newsletter","שמור ניוזלטר"
"Save Template","שמור תבנית"
"Selected problem subscribers successfully unsubscribed","המנויים הבעייתיים שסומנו הוסרו בהצלחה"
"Selected problems successfully deleted","הבעיות הנבחרות נמחקו בהצלחה"
"Sender Email","השולח - דואר אלקטרוני"
"Sender Name","השולח - שם"
"Sender","שולח"
"Sending","שולח"
"Sent","נשלח"
"Sign Up for Our Newsletter:","הרשם לקבלת הניוזלטר:"
"Sign up for our newsletter","הרשמה לניולטר שלנו"
"Start","התחל"
"Status","מצב"
"Store View","מבט חנות"
"Store","חנות"
"Subcribed","רשום"
"Subject","נושא"
"Submit","שלח"
"Subscribe","הרשמה"
"Subscribe","הרשמה"
"Subscriber","מנוי"
"Subscribers From","מנויים מ"
"Subscribers","מנוים"
"Subscription Options","אפשרויות מנוי"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","תוכן תבנית"
"Template Information","מידע תבנית"
"Template Name","שם תבנית"
"Template Styles","תבנית - סגנונות"
"Template Subject","תבנית - נושא"
"Template Type","סוג תבנית"
"Thank you for your subscription.","אנו מודים על הרשמתך"
"The subscription was successfully saved","ההרשמה נשמרה בהצלחה"
"There was a problem with the subscription","ארעה בעיה ברישום"
"There was a problem with the subscription: %s","ארעה בעיה ברישום: %s"
"There was a problem with the un-subscription.","ארעה בעיה בהסרת המינוי"
"There was an error while saving your subscription","ארעה שגיאה במהלך שמירת המנוי שלך"
"Type","סוג"
"Unsubcribed","הוסר מרישום"
"Unsubscribe Selected","הסר רישום מנבחרים"
"Unsubscribe","בטל מנוי"
"Unsubscription Email Sender","שולח הודעה על הסרה מניוזלטר"
"Unsubscription Email Template","הסרת רישום - תבנית דואר אלקטרוני"
"View Newsletter","הצג ניוזלטר"
"Website","אתר"
"You have been successfully unsubscribed.","הסרת את עצמך מרשימת התפוצה."
"Your subscription was successfully confirmed","הרשמתך אושרה בהצלחה"
"Your subscription was successfully confirmed","הרשמתך לניוזלטר אושרה בהצלחה"
"Subscribe","הרשמה"
"Coupons and discounts directly to your email","קופונים והנחות היישר למייל שלכם"
"Your email here ...","המייל שלך כאן..."
"The subscription has been saved.","ההרשמה נשמרה"
"The subscription has been removed.","ההרשמה בוטלה"