"%s - Discounts and Coupons","%s - הנחות וקופונים"
"%s - Special Discounts","%s - הנחות מיוחדות"
"%s RSS Feed","%s הזנת RSS"
"%s has reached a quantity of %s.","%s הגיע לכמות של %s."
"%s's Wishlist","רשימת המשאלות של %s"
"Cannot retrieve the wishlist","לא ניתן לטעון רשימת המשאלות"
"Catalog","קטלוג"
"Category Feeds","הזנות RSS של קטגוריות"
"Comment: %s<br/>","הערה: %s<br/>"
"Coupons/Discounts","קופונים/הנחות"
"Current Status: %s<br/>","סטטוס נוכחי: %s<br/>"
"Customer Name: %s","שם לקוח: %s"
"Customer Order Status Notification","לקוח - תזכורת על סטטוס הזמנה"
"Details for %s #%s","פרטים עבור %s #%s"
"Discount ","הנחה"
"Enable RSS","אפשר RSS"
"Error in processing xml. %s","שגיאה בעיבוד xml. %s"
"From:","מ:"
"Get Feed","קבל הזנת RSS"
"Gift Message","הודעת ברכה"
"Grand Total","סה""כ"
"Low Stock Products","מוצרים במלאי נמוך"
"Message:","הודעה:"
"Miscellaneous Feeds","הזנות שונות"
"New Orders","הזמנות חדשות"
"New Products","מוצרים חדשים"
"New Products from %s","מוצרים חדשים מ %s"
"Notified Date: %s<br/>","תאריך התרעה: %s<br/>"
"Order # %s Notification(s)","תזכורת(ות) הזמנה # %s"
"Order #%s created at %s","הזמנה מס' %s נוצרה ב %s"
"Pending product review(s)","סקירות מוצרים בהמתנה לאישור"
"Product: ""%s"" review By: %s","מוצר: ""%s"" סוקר ע""י: %s"
"Product: <a href=""%s"">%s</a> <br/>","מוצר: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","מוצרים מתוייגים עם %s"
"Purchased From: %s","נקנה מ: %s"
"RSS","RSS"
"RSS Feeds","הזנות RSS"
"RSS testing","RSS testing"
"Review: %s <br/>","סקירה: %s <br/>"
"Rss Config","Rss הגדרות"
"Rss Feeds Section","מדור הזנות Rss"
"Shipping & Handling","טיפול ומשלוח"
"Special Products","מוצרים מיוחדים"
"Special/Discount Products","מוצרים מיוחדים/מוזלים"
"Store: %s <br/>","חנות: %s <br/>"
"Subtotal","סך ביניים"
"Summary of review: %s <br/>","סיכום סקירה: %s <br/>"
"Tags Products","Tags Products"
"Tax","מע""מ"
"There are no Rss Feeds","אין הזנות Rss"
"There are no Rss Feeds.","אין הזנות Rss."
"To:","עד:"
"Top Level Category","קטגוריה ראשית"
"Total Products: %s","סה""כ מוצרים: %s"
"Total: %s<br/>","סה""כ: %s<br/>"
"Wishlist","רשימת המשאלות"
"click <a href=""%s"">here</a> to view the review","לחץ <a href=""%s"">כאן</a> כדי לקרוא את הסקירה"